frequency,channel,power,log_power,patient
11.23046875,Fp2,3.166530292992468e-12,-11.499416352886453,Healthy
11.474609375,Fp2,2.5933724025659143e-12,-11.586135115021367,Healthy
11.71875,Fp2,2.4295850801165297e-12,-11.614467888048532,Healthy
11.962890625,Fp2,2.287564387770032e-12,-11.64062667306056,Healthy
12.20703125,Fp2,2.027481951203853e-12,-11.693043003221597,Healthy
12.451171875,Fp2,2.3176531686085722e-12,-11.63495155466637,Healthy
12.6953125,Fp2,1.996684414999972e-12,-11.69969057191184,Healthy
12.939453125,Fp2,1.9055009979629232e-12,-11.719990819439872,Healthy
13.18359375,Fp2,1.944478002590393e-12,-11.711196965557225,Healthy
13.427734375,Fp2,1.9813297085846018e-12,-11.703043248487576,Healthy
13.671875,Fp2,1.832227654038092e-12,-11.737020566284954,Healthy
13.916015625,Fp2,1.6571145469646892e-12,-11.780647470219604,Healthy
14.16015625,Fp2,1.768832691524099e-12,-11.752313243734791,Healthy
14.404296875,Fp2,1.870556045250675e-12,-11.728029275020727,Healthy
14.6484375,Fp2,1.6266368403364488e-12,-11.78870939595223,Healthy
14.892578125,Fp2,1.640192508772955e-12,-11.785105175982029,Healthy
15.13671875,Fp2,1.7017845604495366e-12,-11.769095420826131,Healthy
15.380859375,Fp2,1.48845716249962e-12,-11.827263659746006,Healthy
15.625,Fp2,1.6120653911038086e-12,-11.792617345645343,Healthy
15.869140625,Fp2,1.6891245892165226e-12,-11.772338315844218,Healthy
16.11328125,Fp2,1.5020642149314305e-12,-11.82331150035832,Healthy
16.357421875,Fp2,1.4487928468062176e-12,-11.838993706951491,Healthy
16.6015625,Fp2,1.500488196972056e-12,-11.82376741644044,Healthy
16.845703125,Fp2,1.4650386780644229e-12,-11.834150909474914,Healthy
17.08984375,Fp2,1.5508673907396809e-12,-11.809425335604937,Healthy
17.333984375,Fp2,1.6887031094334937e-12,-11.77244669694668,Healthy
17.578125,Fp2,1.642191448450638e-12,-11.784576213745856,Healthy
17.822265625,Fp2,1.5825518502280308e-12,-11.800642051990527,Healthy
18.06640625,Fp2,1.7515255760460813e-12,-11.75658351666511,Healthy
18.310546875,Fp2,1.656508620184265e-12,-11.780806299782794,Healthy
18.5546875,Fp2,1.5029675085783464e-12,-11.823050407967754,Healthy
18.798828125,Fp2,1.4833835668426656e-12,-11.828746536480407,Healthy
19.04296875,Fp2,1.5654773075064172e-12,-11.805353223349634,Healthy
19.287109375,Fp2,1.7082586537733264e-12,-11.767446370531232,Healthy
19.53125,Fp2,1.4491084508489262e-12,-11.838899110841632,Healthy
19.775390625,Fp2,1.5063331517220766e-12,-11.82207896574923,Healthy
20.01953125,Fp2,1.5562036157488933e-12,-11.807933579961482,Healthy
20.263671875,Fp2,1.3661487092243325e-12,-11.86450202387531,Healthy
20.5078125,Fp2,1.1575033050456213e-12,-11.936477760257286,Healthy
20.751953125,Fp2,1.4209553273840096e-12,-11.847419575398064,Healthy
20.99609375,Fp2,1.2607560567855802e-12,-11.899368936774035,Healthy
21.240234375,Fp2,1.4435399226268708e-12,-11.840571200742874,Healthy
21.484375,Fp2,1.2029284622541504e-12,-11.919760199237102,Healthy
21.728515625,Fp2,1.3009590524798638e-12,-11.885736372586686,Healthy
21.97265625,Fp2,1.1141090882625277e-12,-11.953072283030384,Healthy
22.216796875,Fp2,1.0693619990584792e-12,-11.97087525308816,Healthy
22.4609375,Fp2,1.0605587959878592e-12,-11.97446524976386,Healthy
22.705078125,Fp2,1.0441673038239112e-12,-11.981229910044258,Healthy
22.94921875,Fp2,1.0075823725792466e-12,-11.996719438989055,Healthy
23.193359375,Fp2,9.814084080454236e-13,-12.008150225596912,Healthy
23.4375,Fp2,9.67225927086931e-13,-12.014472070460076,Healthy
