frequency,channel,power,log_power
35.15625,Fp2,5.878843053855039e-13,-12.230708133917831
35.400390625,Fp2,6.319749698007997e-13,-12.199300122180686
35.64453125,Fp2,5.895422547598482e-13,-12.229485061898194
35.888671875,Fp2,5.709501021955558e-13,-12.243401844973127
36.1328125,Fp2,5.984717828870535e-13,-12.22295632115621
36.376953125,Fp2,6.74872577458721e-13,-12.170778218473393
36.62109375,Fp2,6.013229426047942e-13,-12.220892225962281
36.865234375,Fp2,5.938935828870083e-13,-12.226291367317385
37.109375,Fp2,6.037492109869599e-13,-12.219143423800238
37.353515625,Fp2,5.947055934688993e-13,-12.225697976750002
37.59765625,Fp2,5.918564515933596e-13,-12.227783613953605
37.841796875,Fp2,5.957685808251388e-13,-12.22492240399789
38.0859375,Fp2,5.157008492846229e-13,-12.287602153372573
38.330078125,Fp2,5.877460449089645e-13,-12.230810284670044
38.57421875,Fp2,6.104986260953139e-13,-12.214315309081744
38.818359375,Fp2,5.514718365125671e-13,-12.258476661935488
39.0625,Fp2,5.939928749386888e-13,-12.226218764435254
39.306640625,Fp2,5.403446976623616e-13,-12.267329105854824
39.55078125,Fp2,5.410609184117465e-13,-12.266753834633482
39.794921875,Fp2,6.018392517236501e-13,-12.220519491153796
0.0,F3,2.656724106809278e-09,-8.575653543486423
0.244140625,F3,2.376777140865502e-08,-7.624011538099257
0.48828125,F3,4.8047165651981555e-09,-8.318332226684523
0.732421875,F3,1.1940963275048e-09,-8.922960637347057
0.9765625,F3,6.165459502840697e-10,-9.210034550518127
1.220703125,F3,4.458932834747946e-10,-9.350769069412678
1.46484375,F3,3.6576036837628445e-10,-9.436803353884038
1.708984375,F3,2.518203383145349e-10,-9.59890919694034
1.953125,F3,1.560733146195999e-10,-9.806671346163514
2.197265625,F3,1.3914008922826855e-10,-9.856547722472316
2.44140625,F3,1.2992963379710184e-10,-9.88629178559515
2.685546875,F3,1.3059560163477975e-10,-9.884071449538059
2.9296875,F3,1.1550362275130539e-10,-9.93740439398632
3.173828125,F3,8.802664075516962e-11,-10.05538587123619
3.41796875,F3,6.444230907702968e-11,-10.190828906467505
3.662109375,F3,6.432482658025549e-11,-10.191621375974043
3.90625,F3,5.0643283890567334e-11,-10.295478140879476
4.150390625,F3,4.6246406909396254e-11,-10.33492200389879
4.39453125,F3,3.547414938226314e-11,-10.450088009486228
4.638671875,F3,2.9088767143965996e-11,-10.536274684869086
4.8828125,F3,2.6422525696987623e-11,-10.578025671057695
5.126953125,F3,2.6476310439452206e-11,-10.577142535373884
5.37109375,F3,2.4025682347648698e-11,-10.619324269190722
5.615234375,F3,1.9240283034748308e-11,-10.715788543549492
5.859375,F3,1.3518748127239075e-11,-10.869063523379925
6.103515625,F3,1.5186094909715597e-11,-10.8185538902057
6.34765625,F3,1.5053815427402372e-11,-10.822353413089315
6.591796875,F3,1.1383837716429756e-11,-10.943711304013144
6.8359375,F3,9.37094878519638e-12,-11.02821643565278
7.080078125,F3,9.18102112734926e-12,-11.037109013209381
7.32421875,F3,9.49807936984944e-12,-11.022364205595903
7.568359375,F3,8.419417764907814e-12,-11.074717940594255
7.8125,F3,6.881219323636956e-12,-11.162334599757544
8.056640625,F3,6.716343818466622e-12,-11.17286707985965
8.30078125,F3,6.873313716158705e-12,-11.162833833293433
8.544921875,F3,7.175946299148104e-12,-11.144120819973846
8.7890625,F3,8.756517328218817e-12,-11.057668588566658
9.033203125,F3,8.408869869137245e-12,-11.075262368361164
9.27734375,F3,8.737428150792155e-12,-11.058616382501517
9.521484375,F3,1.0255267311702792e-11,-10.989053014916829
9.765625,F3,8.418868435646781e-12,-11.074746277286488
10.009765625,F3,7.40824112850914e-12,-11.130284890381647
10.25390625,F3,5.318168475154093e-12,-11.274237908698547
10.498046875,F3,4.090549535479615e-12,-11.38821834377883
10.7421875,F3,4.00641751254001e-12,-11.39724379444734
10.986328125,F3,3.333062752444316e-12,-11.477156509686683
11.23046875,F3,3.004914869154533e-12,-11.522167827281919
11.474609375,F3,2.5273743136249584e-12,-11.597330432673207
11.71875,F3,2.3303102066983964e-12,-11.632586262626319
11.962890625,F3,2.2231398812024334e-12,-11.653033210390033
12.20703125,F3,1.912468634754679e-12,-11.71840567871796
12.451171875,F3,2.1334484553285762e-12,-11.670917845345935
12.6953125,F3,1.7750058884689326e-12,-11.750800201862226
12.939453125,F3,1.7088865056393937e-12,-11.767286779649819
13.18359375,F3,1.8137137161219522e-12,-11.741431262656558
13.427734375,F3,1.7407720670168153e-12,-11.759258090753622
13.671875,F3,1.4798152452250225e-12,-11.829792502840125
